id,date,state,statename,deaths,hospitalizedCurrently,positive,totalTestResults
535,20200902,ND,,122,575,12270,464111
536,20200902,NE,,399,2014,34574,365641
537,20200902,NH,,432,715,7297,211281
538,20200902,NJ,,15964,22707,192595,2902267
539,20200902,NM,,787,3151,25460,765399
540,20200902,NV,,1336,0,69872,602308
541,20200902,NY,,25336,89995,436218,8428477
542,20200902,OH,,4176,13574,125767,2292748
543,20200902,OK,,821,4961,60118,893242
544,20200902,OR,,468,2167,27075,566382
545,20200902,PA,,7712,0,135611,1687696
546,20200902,PR,,443,0,34003,339975
547,20200902,RI,,1051,2542,22078,536139
548,20200902,SC,,2794,7948,120503,959032
549,20200902,SD,,169,1043,14003,148925
550,20200902,TN,,1797,7061,157831,2238231
551,20200902,TX,,12870,0,621667,5068862
552,20200902,UT,,410,3134,52822,668425
553,20200902,VA,,2641,16433,122542,1610691
554,20200902,VI,,15,0,1143,16486
555,20200902,VT,,58,0,1637,139096
556,20200902,WA,,1931,6787,74939,1480039
557,20200902,WI,,1150,5916,82182,1273730
558,20200902,WV,,230,0,10642,441585
559,20200902,WY,,41,221,3911,76810
560,20200901,AK,,39,0,6160,374255
561,20200901,AL,,2200,14538,127616,958920
562,20200901,AR,,814,4306,61497,731025
563,20200901,AS,,0,0,0,1514
564,20200901,AZ,,5044,21405,202342,1208990
565,20200901,CA,,13018,0,707797,11470696
566,20200901,CO,,1849,7028,57424,1009970
567,20200901,CT,,4466,11180,53006,1192338
568,20200901,DC,,607,0,14049,292844
569,20200901,DE,,605,0,17535,238423
570,20200901,FL,,11521,39311,631040,4675866
571,20200901,GA,,5733,24847,272697,2368498
572,20200901,GU,,13,0,1447,38322
573,20200901,HI,,70,508,8472,198182
574,20200901,IA,,1123,0,63919,623547
575,20200901,ID,,361,1394,32088,257689
576,20200901,IL,,8273,0,238217,4088824
577,20200901,IN,,3312,11094,94891,1083765
578,20200901,KS,,446,2304,42612,413249
579,20200901,KY,,948,4616,49185,830421
580,20200901,LA,,4984,0,149583,1890526
581,20200901,MA,,9064,12386,128888,2448341
582,20200901,MD,,3761,14337,108863,1338917
583,20200901,ME,,132,421,4548,268735
584,20200901,MI,,6767,0,113820,2789407
585,20200901,MN,,1872,6520,76355,1132922
586,20200901,MO,,1538,0,85755,991244
587,20200901,MP,,2,4,57,13541
588,20200901,MS,,2493,5326,83584,577517
589,20200901,MT,,105,447,7509,252296
590,20200901,NC,,2741,0,169424,2295698
591,20200901,ND,,122,564,12004,458586
592,20200901,NE,,397,2006,34287,363075
593,20200901,NH,,432,715,7297,211281
594,20200901,NJ,,15953,22667,192290,2859048
595,20200901,NM,,779,3134,25352,760874
596,20200901,NV,,1313,0,69633,600349
597,20200901,NY,,25331,89995,435510,8340030
598,20200901,OH,,4165,13479,124610,2269669
599,20200901,OK,,809,4903,59399,886912
600,20200901,OR,,465,2162,26946,561800
601,20200901,PA,,7691,0,134795,1674764
602,20200901,PR,,435,0,33421,339393
603,20200901,RI,,1050,2528,22002,530488
604,20200901,SC,,2757,7870,119846,954402
605,20200901,SD,,167,1036,13749,147595
606,20200901,TN,,1781,6978,156329,2217751
607,20200901,TX,,12681,0,617333,5033554
608,20200901,UT,,409,3110,52403,664521
609,20200901,VA,,2612,16238,121615,1598689
610,20200901,VI,,15,0,1139,16387
611,20200901,VT,,58,0,1635,138446
612,20200901,WA,,1915,6763,74635,1473245
613,20200901,WI,,1139,5878,81604,1265321
614,20200901,WV,,222,0,10507,438441
615,20200901,WY,,41,219,3866,76567
616,20200831,AK,,37,0,6125,348630
617,20200831,AL,,2182,14267,126058,985287
